tracker	detector	nn	learner	sum
107	814	12	14	947
116	872	13	14	1015
108	890	0	13	1011
118	932	13	13	1076
110	940	13	13	1076
116	970	12	14	1112
97	407	0	0	504
33	499	0	0	532
32	578	0	0	610
33	629	0	0	662
32	695	0	0	727
33	754	0	0	787
32	810	4	14	860
108	832	7	14	961
92	859	7	14	972
105	920	9	14	1048
112	963	10	14	1099
104	561	0	14	679
109	583	0	13	705
111	601	0	13	725
106	609	0	16	731
115	681	0	14	810
108	754	3	14	879
110	775	3	14	902
106	822	9	13	950
110	824	0	14	948
114	490	0	13	617
116	518	0	14	648
113	421	0	15	549
118	316	0	15	449
112	328	0	14	454
112	266	0	14	392
118	270	0	13	401
113	266	0	14	393
113	234	0	14	361
120	237	0	0	357
32	281	0	0	313
32	416	0	0	448
32	586	0	0	618
32	630	0	0	662
33	697	0	1	731
34	778	4	15	831
119	449	0	0	568
112	539	0	0	651
116	617	0	0	733
107	695	1	0	803
32	771	0	0	803
32	831	4	0	867
33	898	3	0	934
34	940	6	0	980
32	994	6	0	1032
32	1035	5	0	1072
33	1041	5	17	1096
114	755	0	14	883
119	726	0	0	845
113	766	1	0	880
118	756	5	12	891
96	762	4	0	862
33	963	7	0	1003
32	1038	11	14	1095
115	1016	12	13	1156
110	458	0	13	581
112	499	0	13	624
109	502	0	12	623
118	439	0	14	571
109	479	0	14	602
117	509	0	0	626
94	597	0	0	691
114	671	0	0	785
110	739	0	0	849
115	804	0	0	919
108	855	0	0	963
113	912	0	0	1025
107	945	0	14	1066
117	596	0	13	726
108	545	0	13	666
115	508	0	13	636
92	504	0	0	596
32	594	7	0	633
33	673	6	0	712
32	752	6	1	791
33	815	5	0	853
33	1020	5	0	1058
33	1061	6	0	1100
91	1198	11	14	1314
104	507	0	17	628
108	562	0	13	683
109	391	0	14	514
108	349	0	0	457
32	488	0	0	520
33	603	0	0	636
33	718	0	0	751
33	774	0	0	807
32	849	3	0	884
32	929	4	0	965
33	957	6	0	996
78	456	0	0	534
33	530	0	0	563
32	540	0	0	572
32	545	0	1	578
35	559	0	0	594
32	578	0	0	610
33	591	0	0	624
32	593	0	0	625
38	600	1	0	639
32	602	0	0	634
33	608	0	0	641
32	609	0	0	641
33	614	0	0	647
32	620	0	0	652
33	622	0	0	655
32	645	0	0	677
34	1420	8	14	1476
100	544	0	0	644
34	668	0	0	702
32	742	1	0	775
34	896	0	0	930
32	804	0	0	836
32	854	8	0	894
103	1081	13	0	1197
96	1092	0	0	1188
