tracker	detector	nn	learner	sum
3	15	2	1	21
3	15	2	2	22
2	17	2	1	22
3	19	2	2	26
2	16	2	1	21
3	17	2	2	24
2	17	2	2	23
2	20	3	2	27
2	18	1	0	21
2	19	1	0	22
2	21	1	0	24
3	22	1	0	26
2	23	1	2	28
3	18	2	1	24
2	20	1	2	25
3	19	2	2	26
3	19	1	2	25
2	19	2	1	24
2	18	0	0	20
3	19	1	0	23
2	20	1	0	23
3	22	1	2	28
3	20	1	0	24
3	22	1	0	26
2	23	1	2	28
2	23	1	2	28
2	22	1	2	27
4	20	1	1	26
3	20	2	1	26
3	21	1	1	26
3	22	1	2	28
3	19	1	2	25
2	19	2	2	25
3	20	1	1	25
2	21	0	2	25
3	22	0	0	25
2	25	0	0	27
2	25	1	0	28
3	29	0	0	32
3	36	0	0	39
2	34	0	0	36
3	36	0	0	39
2	37	0	0	39
2	38	0	0	40
3	37	0	0	40
3	38	0	0	41
3	39	0	0	42
2	41	0	0	43
3	40	0	0	43
2	39	0	0	41
2	40	0	0	42
3	40	0	0	43
2	38	0	0	40
2	35	0	0	37
3	33	1	0	37
3	33	0	0	36
2	31	0	2	35
2	24	0	2	28
2	24	0	2	28
2	24	0	2	28
2	24	0	1	27
4	23	0	2	29
2	30	0	2	34
2	23	0	2	27
2	24	0	1	27
2	23	1	1	27
2	23	0	1	26
2	22	1	1	26
3	22	1	1	27
2	22	1	2	27
2	22	1	2	27
2	26	0	2	30
2	23	1	1	27
2	27	1	1	31
2	28	0	2	32
2	23	0	2	27
2	22	1	2	27
2	24	1	2	29
3	21	1	1	26
3	21	1	1	26
3	21	0	1	25
2	21	0	2	25
2	21	0	2	25
2	22	1	2	27
2	24	1	2	29
2	25	2	2	31
2	26	1	3	32
2	27	1	3	33
3	30	1	2	36
2	34	1	2	39
3	31	1	2	37
2	28	2	1	33
2	28	2	1	33
2	28	2	2	34
3	29	2	2	36
3	29	1	1	34
3	30	2	2	37
4	30	2	2	38
2	29	2	2	35
3	31	1	2	37
2	35	2	2	41
2	30	2	2	36
2	32	1	2	37
2	33	1	2	38
2	33	2	2	39
2	35	2	1	40
3	32	2	2	39
2	33	2	2	39
2	31	1	2	36
2	33	1	2	38
3	33	1	2	39
2	32	1	2	37
2	32	1	2	37
2	36	2	2	42
2	32	1	2	37
3	31	2	2	38
2	33	2	1	38
2	34	3	2	41
3	36	2	1	42
2	42	2	2	48
2	32	3	1	38
2	36	2	2	42
2	32	2	1	37
2	31	1	2	36
2	31	2	2	37
2	33	2	0	37
2	38	0	0	40
3	40	1	0	44
2	42	1	0	45
2	46	0	0	48
2	46	0	0	48
2	46	0	0	48
2	46	0	0	48
3	51	0	2	56
2	53	0	1	56
3	53	0	2	58
2	55	1	1	59
2	55	0	2	59
2	54	1	2	59
1	54	0	2	57
2	54	1	1	58
2	50	1	2	55
3	50	1	1	55
2	48	0	2	52
2	48	0	0	50
3	45	1	1	50
2	45	1	0	48
3	46	1	2	52
2	47	0	0	49
3	50	1	0	54
3	48	1	2	54
2	48	1	2	53
2	52	1	2	57
2	50	2	1	55
2	52	2	1	57
2	50	1	2	55
2	51	2	2	57
2	53	1	2	58
2	52	1	2	57
2	51	2	2	57
2	52	2	2	58
2	52	2	2	58
2	52	2	2	58
2	52	2	2	58
2	51	3	1	57
3	53	2	2	60
3	51	2	2	58
2	52	4	2	60
2	52	2	2	58
2	52	3	1	58
4	53	2	1	60
2	51	2	1	56
2	51	2	1	56
2	52	2	1	57
2	52	1	2	57
3	51	2	1	57
2	50	1	2	55
2	53	2	2	59
3	50	2	2	57
2	51	2	1	56
2	50	2	1	55
3	51	2	1	57
2	49	2	2	55
2	51	1	2	56
3	55	1	2	61
3	51	2	1	57
2	51	2	1	56
3	49	1	2	55
2	50	1	2	55
3	50	1	1	55
3	50	1	1	55
3	53	1	0	57
3	51	2	1	57
2	53	0	1	56
3	55	0	2	60
2	57	0	0	59
2	56	2	1	61
2	59	2	1	64
3	60	2	0	65
3	57	0	0	60
2	56	1	0	59
3	56	0	0	59
2	51	0	0	53
2	49	0	0	51
3	51	0	0	54
2	61	1	0	64
2	61	1	0	64
2	59	1	0	62
2	58	1	1	62
3	56	1	0	60
2	58	1	0	61
2	64	1	1	68
2	56	1	0	59
2	59	0	2	63
2	55	1	0	58
3	47	1	0	51
3	49	1	2	55
2	50	1	0	53
2	50	1	3	56
2	50	2	0	54
2	49	2	3	56
3	49	2	0	54
2	50	1	0	53
3	50	2	0	55
3	51	1	2	57
2	50	1	2	55
3	50	1	2	56
2	49	3	1	55
2	49	2	2	55
3	49	2	2	56
2	49	2	1	54
2	52	2	2	58
2	51	2	1	56
2	51	2	1	56
3	50	2	2	57
2	49	2	2	55
2	49	2	1	54
2	50	2	2	56
2	52	2	2	58
2	52	1	2	57
2	49	2	1	54
2	49	2	2	55
2	50	2	2	56
2	50	2	1	55
2	50	2	1	55
2	52	2	1	57
2	50	2	2	56
2	54	1	2	59
3	51	0	2	56
2	51	1	2	56
2	49	1	2	54
2	50	1	2	55
6	51	1	1	59
2	50	2	2	56
3	51	1	1	56
2	51	1	1	55
2	51	1	1	55
2	52	2	2	58
2	50	1	2	55
2	53	1	2	58
2	52	2	1	57
2	50	2	1	55
3	51	3	1	58
2	48	1	1	52
2	49	1	1	53
2	48	0	0	50
2	49	0	0	51
2	47	1	0	50
2	46	0	2	50
4	48	2	2	56
2	50	2	2	56
2	48	2	1	53
2	50	1	2	55
2	50	1	2	55
2	51	2	1	56
2	50	2	2	56
3	51	2	2	58
2	51	2	1	56
2	50	3	2	57
2	49	2	1	54
2	48	2	2	54
2	47	2	1	52
2	46	2	1	51
3	46	2	2	53
2	47	2	2	53
2	48	2	2	54
2	49	3	2	56
3	52	3	1	59
2	50	2	1	55
2	51	2	2	57
2	50	2	2	56
2	49	2	2	55
3	48	3	2	56
2	47	2	2	53
2	46	2	1	51
3	44	3	1	51
2	46	1	2	51
2	46	3	1	52
3	48	3	2	56
3	50	3	1	57
2	50	2	2	56
2	53	2	2	59
2	49	2	2	55
2	50	2	2	56
2	52	3	1	58
